ign,team_name,game_id,sub,role,champion,kills,deaths,assists,cs,dmg,gold,exp,cs/min,dmg/min,gold/min,exp/min,cs_diff,dmg_diff,gold_diff,exp_diff,kp,fb,vision,plates,solo_kills,gold_perc,dmg_perc
conjax pineapple,Coinflip Conundrum,4789656004,False,SUPPORT,Rell,1,4,3,22,3716,5359,5081,1.01,171.38,247.15,234.33,-19,-1789,-1653,-1875,0.8,False,1.71,0,0,17.73,12.18
RaceGurramLucky,Weaver's Wall,4789656004,False,TOP,Gwen,6,2,5,151,11769,9875,11619,6.96,542.77,455.42,535.85,50,4809,4428,3848,0.42,False,1.38,3,2,21.21,21.39
Uninam,Weaver's Wall,4789656004,False,JUNGLE,XinZhao,7,0,12,111,13674,10487,8779,5.12,630.62,483.64,404.87,2,9356,3838,1569,0.73,True,0.97,6,1,22.53,24.85
KuroTheDivine,Weaver's Wall,4789656004,False,MIDDLE,Swain,3,0,15,145,14896,9277,11149,6.69,686.98,427.84,514.17,-1,6015,2545,2143,0.69,False,0.46,4,1,19.93,27.07
MaadMas0,Weaver's Wall,4789656004,False,BOTTOM,Caitlyn,8,2,4,118,9175,9904,8263,5.44,423.14,456.76,381.08,4,2553,3869,1665,0.46,False,0.69,4,0,21.27,16.68
Deep Croissant 2,Weaver's Wall,4789656004,True,SUPPORT,Pyke,2,1,10,41,5505,7012,6956,1.89,253.88,323.38,320.8,19,1789,1653,1875,0.46,False,3.14,6,0,15.06,10.01
RaceGurramLucky,Weaver's Wall,4789699546,False,TOP,Gwen,4,0,6,157,11232,9916,11582,6.77,484.49,427.72,499.58,33,8752,3936,2489,0.45,False,0.73,3,0,20.71,21.24
Uninam,Weaver's Wall,4789699546,False,JUNGLE,Viego,8,2,8,122,14827,10834,10100,5.26,639.55,467.32,435.66,-14,8532,2674,1999,0.73,True,0.99,0,1,22.63,28.04
KuroTheDivine,Weaver's Wall,4789699546,False,MIDDLE,Ryze,2,2,9,179,9994,10284,14339,7.72,431.09,443.59,618.5,27,-3329,2405,4673,0.5,False,0.82,1,0,21.48,18.9
MaadMas0,Weaver's Wall,4789699546,False,BOTTOM,Caitlyn,8,1,2,145,11742,10294,9811,6.25,506.48,444.03,423.19,2,2559,3489,1538,0.45,False,0.43,1,1,21.5,22.21
