ign,team_name,game_id,sub,role,champion,kills,deaths,assists,cs,dmg,gold,exp,cs/min,dmg/min,gold/min,exp/min,cs_diff,dmg_diff,gold_diff,exp_diff,kp,fb,vision,plates,solo_kills,gold_perc,dmg_perc
hpgamer7,the kitchen,4767105459,False,TOP,Mordekaiser,2,6,0,184,15510,9230,10638,7.82,659.07,392.21,452.04,15,3785,-607,-2239,0.33,False,0.51,1,2,25.91,37.27
SANTIx9,the kitchen,4767105459,False,JUNGLE,Poppy,0,7,2,113,4682,6865,7246,4.8,198.95,291.71,307.9,-48,-9665,-4528,-4303,0.33,False,0.17,2,0,19.27,11.25
ximmykun,the kitchen,4767105459,False,MIDDLE,Yasuo,1,5,0,202,9660,7865,11361,8.58,410.48,334.21,482.76,39,-4855,-2887,-1932,0.17,False,0.76,0,0,22.08,23.21
op2001,the kitchen,4767105459,False,BOTTOM,Jinx,2,6,0,111,7155,6454,6088,4.72,304.04,274.25,258.7,-15,-10334,-5915,-2906,0.33,False,0.59,0,0,18.12,17.19
farlon636,the kitchen,4767105459,False,SUPPORT,Nautilus,1,8,2,32,4612,5206,6406,1.36,195.98,221.22,272.21,3,-2025,-2198,-865,0.5,False,1.36,0,1,14.62,11.08
RaceGurramLucky,Weaver's Wall,4767105459,False,TOP,Darius,4,0,7,169,11725,9837,12877,7.18,498.23,418.0,547.18,-15,-3785,607,2239,0.34,False,1.32,1,1,19.01,18.12
Uninam,Weaver's Wall,4767105459,False,JUNGLE,Graves,7,1,11,161,14347,11393,11549,6.84,609.65,484.12,490.75,48,9665,4528,4303,0.56,False,0.42,0,2,22.01,22.17
KuroTheDivine,Weaver's Wall,4767105459,False,MIDDLE,Swain,7,0,13,163,14515,10752,13293,6.93,616.78,456.88,564.86,-39,4855,2887,1932,0.62,False,0.42,0,2,20.77,22.43
MaadMas0,Weaver's Wall,4767105459,False,BOTTOM,Caitlyn,13,1,5,126,17489,12369,8994,5.35,743.16,525.59,382.18,15,10334,5915,2906,0.56,True,0.68,4,2,23.9,27.03
TheOldGodCthulhu,Weaver's Wall,4767105459,False,SUPPORT,Thresh,1,4,15,29,6637,7404,7271,1.23,282.03,314.62,308.97,-3,2025,2198,865,0.5,False,2.17,3,0,14.31,10.26
hpgamer7,the kitchen,4767151646,False,TOP,Kayle,1,5,2,179,6643,7516,11468,7.55,280.1,316.91,483.54,27,-726,-905,72,0.27,False,0.38,1,1,20.31,16.42
SANTIx9,the kitchen,4767151646,False,JUNGLE,Maokai,0,9,8,114,5979,6423,8039,4.81,252.1,270.82,338.96,-15,-16247,-4998,-2429,0.73,False,0.42,0,0,17.35,14.78
ximmykun,the kitchen,4767151646,False,MIDDLE,Akali,5,5,2,120,10578,9158,10314,5.06,446.02,386.14,434.88,-49,-8737,-711,-2177,0.64,False,0.34,0,1,24.74,26.15
op2001,the kitchen,4767151646,False,BOTTOM,Jinx,4,10,3,119,12563,7903,7613,5.02,529.71,333.23,321.0,-32,-9965,-5572,-2780,0.64,False,0.51,0,0,21.35,31.05
farlon636,the kitchen,4767151646,False,SUPPORT,Thresh,1,6,6,40,4695,6013,6856,1.69,197.96,253.53,289.08,16,-1321,-3,-339,0.64,False,1.64,0,0,16.25,11.6
RaceGurramLucky,Weaver's Wall,4767151646,False,TOP,Nasus,2,2,9,152,7369,8421,11396,6.41,310.71,355.07,480.51,-27,726,905,-72,0.32,False,0.59,2,0,17.12,9.51
Uninam,Weaver's Wall,4767151646,False,JUNGLE,Graves,10,3,12,129,22226,11421,10468,5.44,937.15,481.56,441.38,15,16247,4998,2429,0.65,True,0.93,4,2,23.21,28.7
KuroTheDivine,Weaver's Wall,4767151646,False,MIDDLE,Rumble,6,1,10,169,19315,9869,12491,7.13,814.41,416.12,526.68,49,8737,711,2177,0.47,False,0.46,1,1,20.06,24.94
MaadMas0,Weaver's Wall,4767151646,False,BOTTOM,MissFortune,16,2,10,151,22528,13475,10393,6.37,949.88,568.17,438.22,32,9965,5572,2780,0.76,False,0.51,3,1,27.39,29.09
TheOldGodCthulhu,Weaver's Wall,4767151646,False,SUPPORT,Blitzcrank,0,3,19,24,6016,6016,7195,1.01,253.66,253.66,303.37,-16,1321,3,339,0.56,False,1.56,0,0,12.23,7.77
Mach 27,MUNCHES,4767164895,False,TOP,Garen,9,3,4,230,26882,15122,18123,6.84,799.66,449.84,539.11,76,5435,4832,2339,0.52,False,0.42,2,2,24.96,24.26
mat2u,MUNCHES,4767164895,False,JUNGLE,JarvanIV,0,11,18,174,9863,10382,13230,5.18,293.4,308.83,393.55,10,-11601,-2066,-2430,0.72,False,1.25,0,0,17.13,8.9
BossSax,MUNCHES,4767164895,False,MIDDLE,Swain,8,6,12,219,39530,13161,16143,6.51,1175.9,391.5,480.21,46,4117,-1468,-1417,0.8,False,0.51,0,0,21.72,35.68
FIGHTMEHNOW,MUNCHES,4767164895,False,BOTTOM,Zeri,6,10,5,261,27943,13931,12716,7.76,831.22,414.41,378.26,42,-20762,-4901,-2335,0.44,False,0.71,1,0,22.99,25.22
Nelly4L,MUNCHES,4767164895,False,SUPPORT,Nautilus,2,6,12,36,6579,7995,11700,1.07,195.71,237.83,348.04,4,-2227,-1709,-1769,0.56,False,2.68,1,0,13.2,5.94
thedynamict,Yuumi or Bust,4767164895,False,TOP,Ornn,1,5,13,154,21447,10290,15784,4.58,637.99,306.1,469.53,-76,-5435,-4832,-2339,0.39,False,0.48,0,0,15.61,15.79
WsPhoenix411,Yuumi or Bust,4767164895,False,JUNGLE,Poppy,6,4,16,164,21464,12448,15660,4.88,638.49,370.29,465.84,-10,11601,2066,2430,0.61,False,0.51,0,0,18.89,15.8
Dubbya Tea Eff,Yuumi or Bust,4767164895,False,MIDDLE,Viktor,10,3,12,173,35413,14629,17560,5.15,1053.44,435.17,522.36,-46,-4117,1468,1417,0.61,False,0.92,0,0,22.2,26.07
Dweebble,Yuumi or Bust,4767164895,False,BOTTOM,Vayne,19,6,12,219,48705,18832,15051,6.51,1448.83,560.2,447.72,-42,20762,4901,2335,0.86,True,0.36,0,0,28.58,35.86
Qwerky,Yuumi or Bust,4767164895,False,SUPPORT,Leona,0,7,30,32,8806,9704,13469,0.95,261.95,288.67,400.66,-4,2227,1709,1769,0.83,False,1.7,0,0,14.72,6.48
thedynamict,Yuumi or Bust,4767219307,False,TOP,Malphite,3,1,10,168,15155,9982,14336,5.83,525.91,346.4,497.49,-43,929,1239,1352,0.48,False,0.59,0,1,18.77,17.54
WsPhoenix411,Yuumi or Bust,4767219307,False,JUNGLE,Poppy,6,2,8,134,13821,10603,12402,4.65,479.62,367.95,430.38,-53,5112,128,980,0.52,False,0.52,3,1,19.94,16.0
Dubbya Tea Eff,Yuumi or Bust,4767219307,False,MIDDLE,Annie,4,4,9,139,15875,9230,11944,4.82,550.9,320.3,414.48,-41,-9284,-3992,-968,0.48,False,0.97,0,0,17.36,18.38
Dweebble,Yuumi or Bust,4767219307,False,BOTTOM,KogMaw,13,3,6,212,37478,15263,11865,7.36,1300.57,529.66,411.74,31,25954,5693,2150,0.7,True,0.42,4,1,28.7,43.38
Qwerky,Yuumi or Bust,4767219307,False,SUPPORT,Lulu,1,2,19,17,4057,8105,10353,0.59,140.79,281.26,359.27,14,-384,2430,2714,0.74,False,2.36,3,0,15.24,4.7
Mach 27,MUNCHES,4767219307,False,TOP,Sion,0,4,4,211,14226,8743,12984,7.32,493.67,303.4,450.57,43,-929,-1239,-1352,0.33,False,0.62,1,0,18.33,22.21
mat2u,MUNCHES,4767219307,False,JUNGLE,Hecarim,4,8,4,187,8709,10475,11422,6.49,302.22,363.5,396.37,53,-5112,-128,-980,0.67,False,0.66,0,0,21.97,13.6
BossSax,MUNCHES,4767219307,False,MIDDLE,Syndra,7,6,1,180,25159,13222,12912,6.25,873.07,458.83,448.07,41,9284,3992,968,0.67,False,0.35,4,3,27.73,39.27
FIGHTMEHNOW,MUNCHES,4767219307,False,BOTTOM,Aphelios,1,4,6,181,11524,9570,9715,6.28,399.91,332.1,337.13,-31,-25954,-5693,-2150,0.58,False,0.38,0,0,20.07,17.99
Nelly4L,MUNCHES,4767219307,False,SUPPORT,Nami,0,5,6,3,4441,5675,7639,0.1,154.11,196.93,265.09,-14,384,-2430,-2714,0.5,False,1.32,0,0,11.9,6.93
ArchMag342,Bring Back Ruler,4767969455,False,TOP,Ornn,0,4,3,161,12083,7570,13402,5.62,421.5,264.07,467.51,-74,-5645,-6228,-2925,0.19,False,0.52,0,0,16.17,18.86
bables,Bring Back Ruler,4767969455,False,JUNGLE,JarvanIV,4,7,9,153,11618,9959,11041,5.34,405.28,347.41,385.15,-8,-298,-1820,-1264,0.81,False,0.49,0,1,21.27,18.13
HarrisonTT,Bring Back Ruler,4767969455,False,MIDDLE,Cassiopeia,2,6,6,218,16845,9654,12618,7.6,587.62,336.77,440.16,6,-8530,-2886,-3140,0.5,False,0.63,0,0,20.62,26.29
Saker Lee,Bring Back Ruler,4767969455,False,BOTTOM,Xayah,7,2,4,231,18096,12592,11367,8.06,631.26,439.26,396.52,17,-4239,485,-1551,0.69,False,0.52,0,0,26.89,28.24
NixWS,Bring Back Ruler,4767969455,True,SUPPORT,Braum,3,7,9,31,5432,7052,8469,1.08,189.49,246.0,295.43,1,-90,-140,58,0.75,False,2.41,0,0,15.06,8.48
flipperthebrick,Scheduling Conflict,4767969455,False,TOP,Gwen,6,1,5,235,17728,13798,16327,8.2,618.42,481.33,569.55,74,5645,6228,2925,0.42,True,0.52,0,1,24.03,21.39
S0Sparky,Scheduling Conflict,4767969455,False,JUNGLE,RekSai,8,6,8,161,11916,11779,12305,5.62,415.67,410.9,429.24,8,298,1820,1264,0.62,False,0.94,0,0,20.52,14.38
Raide0n,Scheduling Conflict,4767969455,False,MIDDLE,Leblanc,7,0,12,212,25375,12540,15758,7.4,885.17,437.44,549.7,-6,8530,2886,3140,0.73,False,0.77,1,0,21.84,30.62
BlueAndNotHeavy,Scheduling Conflict,4767969455,False,BOTTOM,Ashe,5,3,15,214,22335,12107,12918,7.47,779.13,422.34,450.63,-17,4239,-485,1551,0.77,False,0.66,0,0,21.09,26.95
kbking16,Scheduling Conflict,4767969455,False,SUPPORT,Thresh,0,6,16,30,5522,7192,8411,1.05,192.63,250.88,293.41,-1,90,140,-58,0.62,False,2.23,0,0,12.53,6.66
W3AKSIDE,Bring Back Ruler,4768040613,False,TOP,Renekton,8,5,3,251,23898,14408,18156,8.16,776.75,468.3,590.12,70,5658,4461,4388,0.44,False,0.62,4,2,23.42,27.43
bables,Bring Back Ruler,4768040613,False,JUNGLE,Kindred,9,2,7,265,21816,16270,18306,8.61,709.08,528.82,594.99,136,10647,6648,7991,0.64,False,0.46,3,0,26.45,25.04
HarrisonTT,Bring Back Ruler,4768040613,False,MIDDLE,Swain,3,2,10,215,20643,11489,16666,6.99,670.95,373.42,541.69,-34,-3153,659,1580,0.52,False,0.88,0,2,18.68,23.69
Saker Lee,Bring Back Ruler,4768040613,False,BOTTOM,Ezreal,3,1,8,221,15344,11406,13136,7.18,498.72,370.73,426.96,-52,-9744,-2464,35,0.44,False,0.46,1,0,18.54,17.61
ArchMag342,Bring Back Ruler,4768040613,False,SUPPORT,Karma,2,3,13,11,5427,7936,10881,0.36,176.39,257.94,353.66,3,-914,1238,1482,0.6,False,1.82,0,0,12.9,6.23
flipperthebrick,Scheduling Conflict,4768040613,False,TOP,Poppy,1,5,6,181,18240,9947,13768,5.88,592.85,323.3,447.5,-70,-5658,-4461,-4388,0.54,False,0.68,2,0,19.52,21.55
S0Sparky,Scheduling Conflict,4768040613,False,JUNGLE,Vi,4,7,4,129,11169,9622,10315,4.19,363.02,312.74,335.27,-136,-10647,-6648,-7991,0.62,True,0.88,0,0,18.88,13.2
Raide0n,Scheduling Conflict,4768040613,False,MIDDLE,Ahri,2,4,6,249,23796,10830,15086,8.09,773.43,352.0,490.34,34,3153,-659,-1580,0.62,False,0.42,0,0,21.25,28.12
BlueAndNotHeavy,Scheduling Conflict,4768040613,False,BOTTOM,Sivir,5,4,6,273,25088,13870,13101,8.87,815.43,450.81,425.82,52,9744,2464,-35,0.85,False,0.78,2,0,27.21,29.64
kbking16,Scheduling Conflict,4768040613,False,SUPPORT,Seraphine,1,5,10,8,6341,6698,9399,0.26,206.1,217.7,305.49,-3,914,-1238,-1482,0.85,False,1.63,0,0,13.14,7.49
flipperthebrick,Scheduling Conflict,4768099177,False,TOP,Gwen,7,0,6,235,21666,13312,18577,7.45,687.08,422.16,589.12,-23,7984,2286,2391,0.43,False,0.51,0,1,21.94,23.44
S0Sparky,Scheduling Conflict,4768099177,False,JUNGLE,JarvanIV,5,0,19,180,16151,12689,15704,5.71,512.19,402.4,498.01,-39,3008,101,1724,0.8,False,0.86,0,1,20.91,17.48
Raide0n,Scheduling Conflict,4768099177,False,MIDDLE,Neeko,1,5,9,177,15619,9061,14391,5.61,495.32,287.35,456.37,-13,-495,-1210,-357,0.33,False,0.41,0,0,14.93,16.9
BlueAndNotHeavy,Scheduling Conflict,4768099177,False,BOTTOM,MissFortune,15,0,8,232,31215,16861,14595,7.36,989.9,534.7,462.84,72,19241,8460,3536,0.77,False,0.92,0,0,27.79,33.78
kbking16,Scheduling Conflict,4768099177,False,SUPPORT,Blitzcrank,2,3,19,28,7762,8758,11926,0.89,246.15,277.74,378.2,17,3601,2324,3310,0.7,False,2.0,0,0,14.43,8.4
W3AKSIDE,Bring Back Ruler,4768099177,False,TOP,Renekton,0,6,2,258,13682,11026,16186,8.18,433.89,349.66,513.3,23,-7984,-2286,-2391,0.25,False,0.7,4,0,22.63,23.16
bables,Bring Back Ruler,4768099177,False,JUNGLE,Graves,5,5,2,219,13143,12588,13980,6.95,416.8,399.2,443.34,39,-3008,-101,-1724,0.88,False,0.79,4,0,25.84,22.25
HarrisonTT,Bring Back Ruler,4768099177,False,MIDDLE,Sylas,3,5,4,190,16114,10271,14748,6.03,511.01,325.72,467.7,13,495,1210,357,0.88,True,0.57,0,0,21.08,27.28
Saker Lee,Bring Back Ruler,4768099177,False,BOTTOM,Ashe,0,7,3,160,11974,8401,11059,5.07,379.73,266.42,350.71,-72,-19241,-8460,-3536,0.38,False,0.89,0,0,17.24,20.27
ArchMag342,Bring Back Ruler,4768099177,False,SUPPORT,Milio,0,7,4,11,4161,6434,8616,0.35,131.96,204.04,273.23,-17,-3601,-2324,-3310,0.5,False,1.08,0,0,13.21,7.04
Rusha,I'm down for anything,4768751155,True,TOP,Yone,4,5,2,265,28693,12604,16714,8.36,905.14,397.6,527.26,103,14121,2267,1050,0.33,False,0.5,2,2,23.52,29.69
xyeat,I'm down for anything,4768751155,True,JUNGLE,Amumu,3,8,5,150,13121,10413,10925,4.73,413.91,328.49,344.64,-4,-8914,-2273,-2659,0.44,False,0.66,0,1,19.44,13.58
Cactys,I'm down for anything,4768751155,False,MIDDLE,Swain,2,4,6,196,26397,10061,13301,6.18,832.71,317.38,419.59,-54,2714,-4100,-3842,0.44,False,0.5,0,0,18.78,27.32
Burito,I'm down for anything,4768751155,False,BOTTOM,Ezreal,6,5,2,233,19719,12999,12391,7.35,622.05,410.06,390.88,87,-2302,-1633,-1087,0.44,False,0.66,1,1,24.26,20.41
KOREA KOREND,I'm down for anything,4768751155,False,SUPPORT,Thresh,3,13,5,29,8703,7501,9301,0.91,274.54,236.62,293.41,-30,-26440,-3873,-2540,0.44,True,1.89,1,1,14.0,9.01
TheeOrange,Coinflip Conundrum,4768751155,False,TOP,DrMundo,4,2,6,162,14572,10337,15664,5.11,459.68,326.09,494.13,-103,-14121,-2267,-1050,0.29,False,0.76,1,0,16.36,12.41
MoonNickZ,Coinflip Conundrum,4768751155,False,JUNGLE,Maokai,6,5,19,154,22035,12686,13584,4.86,695.11,400.19,428.52,4,8914,2273,2659,0.71,False,0.38,3,0,20.08,18.76
Bixzy,Coinflip Conundrum,4768751155,False,MIDDLE,Ryze,7,3,9,250,23683,14161,17143,7.89,747.1,446.72,540.79,54,-2714,4100,3842,0.46,False,0.95,1,0,22.41,20.16
Neurons,Coinflip Conundrum,4768751155,False,BOTTOM,Jhin,13,5,11,146,22021,14632,13478,4.61,694.67,461.58,425.17,-87,2302,1633,1087,0.69,False,0.32,4,0,23.16,18.75
conjax pineapple,Coinflip Conundrum,4768751155,False,SUPPORT,Zyra,5,3,27,59,35143,11374,11841,1.86,1108.61,358.8,373.53,30,26440,3873,2540,0.91,False,2.81,3,0,18.0,29.92
TheeOrange,Coinflip Conundrum,4768793515,False,TOP,DrMundo,3,2,6,127,10513,9146,13769,4.46,368.88,320.91,483.12,-129,-16944,-3660,-997,0.3,False,0.74,1,0,16.09,13.88
MoonNickZ,Coinflip Conundrum,4768793515,False,JUNGLE,Maokai,7,1,13,147,12854,12165,12454,5.16,451.02,426.84,436.98,13,7218,4513,3892,0.67,False,0.49,2,0,21.41,16.97
Bixzy,Coinflip Conundrum,4768793515,False,MIDDLE,Lux,7,0,16,223,24837,13598,16600,7.82,871.47,477.12,582.46,40,9505,4937,5393,0.77,False,0.98,0,0,23.93,32.78
Neurons,Coinflip Conundrum,4768793515,False,BOTTOM,Ezreal,7,3,9,187,14666,11663,13037,6.56,514.6,409.23,457.44,-22,1554,1828,3187,0.53,False,0.46,0,0,20.52,19.36
conjax pineapple,Coinflip Conundrum,4768793515,False,SUPPORT,Karma,6,1,22,18,12897,10257,10670,0.63,452.53,359.89,374.39,-18,10551,4242,2602,0.93,True,3.16,1,0,18.05,17.02
Rusha,I'm down for anything,4768793515,True,TOP,Yone,3,4,0,256,27457,12806,14766,8.98,963.4,449.33,518.11,129,16944,3660,997,0.43,False,0.63,5,2,28.48,42.98
xyeat,I'm down for anything,4768793515,True,JUNGLE,JarvanIV,0,7,2,134,5636,7652,8562,4.7,197.75,268.49,300.42,-13,-7218,-4513,-3892,0.29,False,0.88,0,0,17.02,8.82
Cactys,I'm down for anything,4768793515,False,MIDDLE,Viktor,1,4,0,183,15332,8661,11207,6.42,537.96,303.89,393.23,-40,-9505,-4937,-5393,0.14,False,0.53,1,1,19.26,24.0
Burito,I'm down for anything,4768793515,False,BOTTOM,Xayah,2,7,1,209,13112,9835,9850,7.33,460.07,345.09,345.61,22,-1554,-1828,-3187,0.43,False,0.32,0,0,21.87,20.53
KOREA KOREND,I'm down for anything,4768793515,False,SUPPORT,Milio,1,8,2,36,2346,6015,8068,1.26,82.32,211.05,283.09,18,-10551,-4242,-2602,0.43,False,1.82,0,0,13.38,3.67
Petraciela,Monster Hunter Revengeance,4769688833,False,TOP,TahmKench,4,1,14,160,22805,11210,15681,5.41,770.44,378.72,529.76,3,-6030,1144,2711,0.43,False,0.34,0,1,17.3,17.41
arcatesythe,Monster Hunter Revengeance,4769688833,False,JUNGLE,Shyvana,18,3,12,256,38243,17887,19437,8.65,1291.99,604.29,656.66,72,16056,5153,6152,0.71,True,0.71,2,3,27.61,29.2
SpyChicken,Monster Hunter Revengeance,4769688833,False,MIDDLE,Taliyah,4,6,18,176,25516,12522,14976,5.95,862.03,423.04,505.95,-46,8491,706,1155,0.52,False,0.54,1,1,19.33,19.48
Alpha Mystogan,Monster Hunter Revengeance,4769688833,False,BOTTOM,Ezreal,14,4,12,180,35931,14270,13065,6.08,1213.89,482.09,441.39,-37,4016,2737,1786,0.62,False,0.54,2,2,22.02,27.43
Orenomnom,Monster Hunter Revengeance,4769688833,False,SUPPORT,Braum,2,4,23,28,8476,8903,11414,0.95,286.35,300.78,385.61,-4,2567,2605,3277,0.6,False,2.03,1,0,13.74,6.47
Avër,No ADC? No Need,4769688833,False,TOP,DrMundo,2,7,2,157,28835,10066,12970,5.3,974.16,340.07,438.18,-3,6030,-1144,-2711,0.22,False,0.47,3,1,19.19,27.24
SeductivePenguln,No ADC? No Need,4769688833,False,JUNGLE,Khazix,7,7,4,184,22187,12734,13285,6.22,749.56,430.2,448.82,-72,-16056,-5153,-6152,0.61,False,0.61,2,2,24.28,20.96
GhettoRobin,No ADC? No Need,4769688833,False,MIDDLE,Yone,3,9,3,222,17025,11816,13821,7.5,575.17,399.19,466.93,46,-8491,-706,-1155,0.33,False,0.54,1,3,22.53,16.08
KeithRobus,No ADC? No Need,4769688833,False,BOTTOM,Veigar,5,9,3,217,31915,11533,11279,7.33,1078.21,389.63,381.05,37,-4016,-2737,-1786,0.44,False,0.54,2,1,21.99,30.15
Dinkisbuhl,No ADC? No Need,4769688833,False,SUPPORT,Nautilus,1,10,5,32,5909,6298,8137,1.08,199.63,212.77,274.9,4,-2567,-2605,-3277,0.33,False,1.22,1,0,12.01,5.58
Tank2020,RRRR,4769721314,False,TOP,Kayle,3,2,13,205,24217,12472,15933,7.45,880.08,453.25,579.03,22,10938,2791,3141,0.55,False,0.55,4,0,21.07,26.26
SanicSpeedzx,RRRR,4769721314,False,JUNGLE,Rumble,8,2,7,198,23038,13127,14552,7.2,837.24,477.06,528.84,48,10249,4781,4153,0.52,True,0.76,2,1,22.17,24.98
Godrick,RRRR,4769721314,False,MIDDLE,Yorick,8,3,2,233,23672,14786,15914,8.47,860.28,537.35,578.34,92,8078,6817,4162,0.34,False,0.87,5,3,24.97,25.67
Swordpoint,RRRR,4769721314,True,BOTTOM,Ashe,10,2,4,186,19600,12163,13233,6.76,712.3,442.02,480.91,-34,5120,203,2216,0.48,False,0.58,0,2,20.54,21.25
Rhaastakhan,RRRR,4769721314,False,SUPPORT,Lulu,0,5,9,11,1700,6659,8279,0.4,61.78,242.0,300.87,-19,-7809,429,583,0.31,False,0.76,0,0,11.25,1.84
Weirdzilla78,IRS,4769721314,False,TOP,Renekton,4,5,3,183,13279,9681,12792,6.65,482.58,351.82,464.88,-22,-10938,-2791,-3141,0.5,False,0.47,0,1,21.91,20.23
Rainßerry,IRS,4769721314,False,JUNGLE,Kindred,2,6,3,150,12789,8346,10399,5.45,464.77,303.31,377.92,-48,-10249,-4781,-4153,0.36,False,1.09,0,0,18.89,19.48
TuckManDog,IRS,4769721314,False,MIDDLE,Heimerdinger,1,6,3,141,15594,7969,11752,5.12,566.71,289.61,427.09,-92,-8078,-6817,-4162,0.29,False,0.47,0,0,18.04,23.75
Rÿžê Bøt,IRS,4769721314,False,BOTTOM,Kaisa,7,4,5,220,14480,11960,11017,8.0,526.23,434.65,400.38,34,-5120,-203,-2216,0.86,False,0.69,1,0,27.07,22.06
Ibusaki,IRS,4769721314,False,SUPPORT,Nautilus,0,9,9,30,9509,6230,7696,1.09,345.57,226.41,279.69,19,7809,-429,-583,0.64,False,1.24,1,0,14.1,14.48
Petraciela,Monster Hunter Revengeance,4769746972,False,TOP,TahmKench,4,6,3,149,13388,8495,11202,6.05,543.49,344.86,454.75,29,4856,499,-1005,0.33,False,0.45,0,2,19.44,20.74
arcatesythe,Monster Hunter Revengeance,4769746972,False,JUNGLE,MasterYi,4,7,5,144,10840,9012,9333,5.85,440.05,365.85,378.88,-21,-9990,-4116,-3912,0.43,False,0.45,0,1,20.62,16.79
SpyChicken,Monster Hunter Revengeance,4769746972,False,MIDDLE,Ahri,2,3,4,181,13934,8670,11434,7.35,565.66,351.96,464.17,25,-15099,-1542,-1915,0.29,False,0.77,2,1,19.84,21.59
Alpha Mystogan,Monster Hunter Revengeance,4769746972,False,BOTTOM,Kaisa,9,8,4,140,19619,10703,7794,5.68,796.44,434.49,316.4,19,-261,468,-2364,0.62,False,0.77,3,0,24.49,30.39
Orenomnom,Monster Hunter Revengeance,4769746972,False,SUPPORT,Alistar,2,9,12,29,6770,6829,6146,1.18,274.83,277.23,249.5,-1,-2595,-2473,-2763,0.67,False,1.87,1,0,15.62,10.49
Avër,No ADC? No Need,4769746972,False,TOP,Malphite,2,3,10,120,8532,7996,12207,4.87,346.36,324.6,495.55,-29,-4856,-499,1005,0.36,False,0.61,1,0,15.72,9.74
SeductivePenguln,No ADC? No Need,4769746972,False,JUNGLE,Kindred,12,3,9,165,20830,13128,13245,6.7,845.6,532.94,537.69,21,9990,4116,3912,0.64,True,1.1,0,2,25.81,23.77
GhettoRobin,No ADC? No Need,4769746972,False,MIDDLE,Xerath,6,3,17,156,29033,10212,13349,6.33,1178.61,414.56,541.91,-25,15099,1542,1915,0.7,False,0.65,0,1,20.07,33.13
KeithRobus,No ADC? No Need,4769746972,False,BOTTOM,Chogath,7,6,15,121,19880,10235,10158,4.91,807.04,415.49,412.37,-19,261,-468,2364,0.67,False,0.45,0,1,20.12,22.68
Dinkisbuhl,No ADC? No Need,4769746972,False,SUPPORT,Senna,6,6,16,30,9365,9302,8909,1.22,380.18,377.62,361.66,1,2595,2473,2763,0.67,False,1.14,1,0,18.28,10.69
Petraciela,Monster Hunter Revengeance,4769792345,False,TOP,Mordekaiser,4,1,12,150,13049,9806,13619,5.83,507.41,381.31,529.58,47,3365,2031,4583,0.38,False,0.43,0,1,17.83,11.75
arcatesythe,Monster Hunter Revengeance,4769792345,False,JUNGLE,MasterYi,19,4,10,143,29471,14409,12380,5.56,1145.99,560.3,481.4,8,18395,5285,4241,0.69,False,0.51,4,1,26.2,26.53
SpyChicken,Monster Hunter Revengeance,4769792345,False,MIDDLE,Taliyah,8,3,14,162,30280,11517,13411,6.3,1177.45,447.84,521.49,-27,5459,2352,1441,0.52,False,0.82,1,1,20.94,27.26
Alpha Mystogan,Monster Hunter Revengeance,4769792345,False,BOTTOM,Ashe,9,5,19,127,31315,10936,10512,4.94,1217.69,425.25,408.76,2,24290,2940,1847,0.67,True,0.74,5,0,19.89,28.19
Orenomnom,Monster Hunter Revengeance,4769792345,False,SUPPORT,Milio,2,1,28,8,6955,8322,10350,0.31,270.45,323.6,402.46,-36,1815,1788,2898,0.71,False,1.98,2,0,15.13,6.26
Avër,No ADC? No Need,4769792345,False,TOP,Malphite,4,7,2,103,9684,7775,9036,4.01,376.57,302.33,351.37,-47,-3365,-2031,-4583,0.43,False,0.51,0,0,19.15,16.77
SeductivePenguln,No ADC? No Need,4769792345,False,JUNGLE,Kindred,4,9,3,135,11076,9124,8139,5.25,430.69,354.79,316.49,-8,-18395,-5285,-4241,0.5,False,0.7,0,1,22.48,19.18
GhettoRobin,No ADC? No Need,4769792345,False,MIDDLE,Xerath,4,5,3,189,24821,9165,11970,7.35,965.17,356.38,465.46,27,-5459,-2352,-1441,0.5,False,0.74,2,3,22.58,42.98
KeithRobus,No ADC? No Need,4769792345,False,BOTTOM,Sion,2,9,4,125,7025,7996,8665,4.86,273.17,310.93,336.94,-2,-24290,-2940,-1847,0.43,False,0.58,0,1,19.7,12.17
Dinkisbuhl,No ADC? No Need,4769792345,False,SUPPORT,Senna,0,12,6,44,5140,6534,7452,1.71,199.87,254.08,289.77,36,-1815,-1788,-2898,0.43,False,1.59,0,0,16.1,8.9
Weirdzilla78,IRS,4769807871,False,TOP,Camille,7,4,13,137,26032,13297,14066,4.93,936.4,478.31,505.97,-33,637,2371,-565,0.48,False,0.68,6,0,21.1,25.37
Rainßerry,IRS,4769807871,False,JUNGLE,Talon,10,5,16,204,25887,14566,16344,7.34,931.19,523.96,587.91,41,8329,2440,4980,0.62,True,0.76,6,1,23.12,25.23
TuckManDog,IRS,4769807871,False,MIDDLE,Zilean,3,6,20,78,8547,8906,14972,2.81,307.45,320.36,538.56,-89,-25613,-5269,694,0.55,False,0.94,2,0,14.13,8.33
Rÿžê Bøt,IRS,4769807871,False,BOTTOM,Ezreal,20,3,7,245,34472,17177,15371,8.81,1240.0,617.88,552.91,69,26980,7828,3651,0.64,False,0.76,4,1,27.26,33.59
Ibusaki,IRS,4769807871,False,SUPPORT,Lulu,2,7,24,13,7683,9067,12099,0.47,276.37,326.15,435.22,-17,3405,3001,2418,0.62,False,1.55,4,0,14.39,7.49
